user_input,command
Stop a Docker container,docker stop <container_id>
Display the list of running Docker containers,docker ps
Display the first 10 lines of 'log.txt',"powershell -command ""Get-Content log.txt -TotalCount 10"""
Go back to the previous directory,cd ..
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Ping a server,ping <server_address>
Push changes to remote repository,git push
Verify for updates in the package manager,winget upgrade
Remove a package using winget,winget uninstall <package_name>
Delete a user,net user <username> /delete
Add a new user,net user <username> <password> /add
Display the list of users,net user
Verify the status of a service,sc query <service_name>
Display the last 10 lines of 'log.txt',"powershell -command ""Get-Content log.txt -Tail 10"""
Display the list of users,net user
Commit changes in Git,git commit -m 'Your message'
Remove a package using winget,winget uninstall <package_name>
Display the routing table,route print
Display disk space usage,"wmic logicaldisk get size,freespace,caption"
Run a Node.js application,node app.js
Remove the directory named 'test',rmdir test
Enumerate all files in the current directory,dir
Display the list of installed packages,winget list
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Run a Docker container,docker run <image_name>
Ping a server,ping <server_address>
Kill the process with ID 1234,taskkill /PID 1234
Run a Python script,python script.py
Restart a service,sc restart <service_name>
Display the current branch in Git,git branch
Display the list of installed packages,winget list
Display me the disk usage,dir /s
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Display me the contents of this folder,dir
Add a new user,net user <username> <password> /add
Pull changes from remote repository,git pull
Search for 'keyword' in 'file.txt',"findstr ""keyword"" file.txt"
Search for 'keyword' in 'file.txt',"findstr ""keyword"" file.txt"
Run a Docker container,docker run <image_name>
Add a new user,net user <username> <password> /add
Display the current directory,cd
Delete a user,net user <username> /delete
Verify the version of Node.js,node -v
Disable a service from starting on boot,sc config <service_name> start= disabled
Push changes to remote repository,git push
Move 'file.txt' to 'new_folder',move file.txt new_folder
Run a Docker container,docker run <image_name>
Make a file named 'newfile.txt',echo. > newfile.txt
Restart a service,sc restart <service_name>
Build a Docker image,docker build -t <image_name> .
Remove a package using winget,winget uninstall <package_name>
Run a Docker container,docker run <image_name>
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Disable a service from starting on boot,sc config <service_name> start= disabled
Display the list of users,net user
Make a new directory named 'test',mkdir test
Stop a Docker container,docker stop <container_id>
Restart a service,sc restart <service_name>
Search for 'keyword' in 'file.txt',"findstr ""keyword"" file.txt"
Ping a server,ping <server_address>
Display the current directory,cd
Verify the current user,whoami
Kill the process with ID 1234,taskkill /PID 1234
Change directory to 'Documents',cd Documents
Run a Docker container,docker run <image_name>
Install a package using winget,winget install <package_name>
Enumerate all files in the current directory,dir
Display the list of installed packages,winget list
Display the first 10 lines of 'log.txt',"powershell -command ""Get-Content log.txt -TotalCount 10"""
Ping a server,ping <server_address>
Go back to the previous directory,cd ..
Enable a service to start on boot,sc config <service_name> start= auto
Display the process status,tasklist
Run a Python script,python script.py
Remove a package using winget,winget uninstall <package_name>
Run a Node.js application,node app.js
Delete a user,net user <username> /delete
Ping a server,ping <server_address>
Run a Node.js application,node app.js
Push changes to remote repository,git push
Display the manual for the dir command,help dir
Display the list of installed packages,winget list
Delete the file 'example.txt',del example.txt
Display the last 10 lines of 'log.txt',"powershell -command ""Get-Content log.txt -Tail 10"""
Commit changes in Git,git commit -m 'Your message'
Display the current Python version,python --version
Move 'file.txt' to 'new_folder',move file.txt new_folder
Commit changes in Git,git commit -m 'Your message'
Verify the system uptime,"systeminfo | find ""System Boot Time"""
Extract the zip file,"powershell -command ""Expand-Archive -Path myfolder.zip -DestinationPath myfolder"""
Build a Docker image,docker build -t <image_name> .
Verify the version of Node.js,node -v
Display disk space usage,"wmic logicaldisk get size,freespace,caption"
Delete the file 'example.txt',del example.txt
Extract the zip file,"powershell -command ""Expand-Archive -Path myfolder.zip -DestinationPath myfolder"""
Install a package using winget,winget install <package_name>
Pull changes from remote repository,git pull
Enable a service to start on boot,sc config <service_name> start= auto
Go back to the previous directory,cd ..
Run a Docker container,docker run <image_name>
Display disk space usage,"wmic logicaldisk get size,freespace,caption"
Change directory to 'Documents',cd Documents
Install a package using winget,winget install <package_name>
Go back to the previous directory,cd ..
Display the list of users,net user
Display the current Python version,python --version
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Delete the file 'example.txt',del example.txt
Clone a repository from GitHub,git clone <repository_url>
Run a Docker container,docker run <image_name>
Extract the zip file,"powershell -command ""Expand-Archive -Path myfolder.zip -DestinationPath myfolder"""
Search for 'keyword' in 'file.txt',"findstr ""keyword"" file.txt"
Run a Docker container,docker run <image_name>
Delete a user,net user <username> /delete
Display the manual for the dir command,help dir
Start a service,sc start <service_name>
Move 'file.txt' to 'new_folder',move file.txt new_folder
Move 'file.txt' to 'new_folder',move file.txt new_folder
Display me the contents of this folder,dir
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Enumerate all files in the current directory,dir
Remove the directory named 'test',rmdir test
Display the current date and time,echo %date% %time%
Display me the contents of this folder,dir
Stop a Docker container,docker stop <container_id>
Stop a Docker container,docker stop <container_id>
Verify the system uptime,"systeminfo | find ""System Boot Time"""
Restart a service,sc restart <service_name>
Stop a service,sc stop <service_name>
Start a service,sc start <service_name>
Display the list of installed packages,winget list
Edit the file 'newfile.txt',notepad newfile.txt
Verify the system uptime,"systeminfo | find ""System Boot Time"""
Move 'file.txt' to 'new_folder',move file.txt new_folder
Verify the available memory,"systeminfo | find ""Available Physical Memory"""
Kill the process with ID 1234,taskkill /PID 1234
Display the list of users,net user
Search for 'keyword' in 'file.txt',"findstr ""keyword"" file.txt"
Display me the contents of this folder,dir
Display the manual for the dir command,help dir
Stop a service,sc stop <service_name>
Display the list of installed packages,winget list
Kill the process with ID 1234,taskkill /PID 1234
Display the list of installed packages,winget list
Verify the current user,whoami
Remove the directory named 'test',rmdir test
Enable a service to start on boot,sc config <service_name> start= auto
Display the process status,tasklist
Make a file named 'newfile.txt',echo. > newfile.txt
Start a service,sc start <service_name>
Display the list of running Docker containers,docker ps
Run a Python script,python script.py
Stop a service,sc stop <service_name>
Search for 'keyword' in 'file.txt',"findstr ""keyword"" file.txt"
Ping a server,ping <server_address>
Push changes to remote repository,git push
Remove a package using winget,winget uninstall <package_name>
Run a Python script,python script.py
Run a Python script,python script.py
Stop a service,sc stop <service_name>
Start a service,sc start <service_name>
Run a Node.js application,node app.js
Commit changes in Git,git commit -m 'Your message'
Display the current Python version,python --version
Find all .txt files in this directory,dir *.txt
Display me the disk usage,dir /s
Enumerate all files in the current directory,dir
Display the list of installed packages,winget list
Clone a repository from GitHub,git clone <repository_url>
Display me the contents of this folder,dir
Run a Python script,python script.py
Run a Docker container,docker run <image_name>
Edit the file 'newfile.txt',notepad newfile.txt
Copy the file 'source.txt' to 'dest.txt',copy source.txt dest.txt
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Restart a service,sc restart <service_name>
Stop a service,sc stop <service_name>
Make a new directory named 'test',mkdir test
Verify for updates in the package manager,winget upgrade
Delete the file 'example.txt',del example.txt
Edit the file 'newfile.txt',notepad newfile.txt
Build a Docker image,docker build -t <image_name> .
Display hidden files,dir /a:h
Run a Node.js application,node app.js
Display the current directory,cd
Verify for updates in the package manager,winget upgrade
Display the manual for the dir command,help dir
Display the list of installed packages,winget list
Run a Python script,python script.py
Run a Docker container,docker run <image_name>
Clone a repository from GitHub,git clone <repository_url>
Verify the available memory,"systeminfo | find ""Available Physical Memory"""
Display the manual for the dir command,help dir
Search for 'keyword' in 'file.txt',"findstr ""keyword"" file.txt"
Disable a service from starting on boot,sc config <service_name> start= disabled
Disable a service from starting on boot,sc config <service_name> start= disabled
Extract the zip file,"powershell -command ""Expand-Archive -Path myfolder.zip -DestinationPath myfolder"""
Run a Node.js application,node app.js
Make a new directory named 'test',mkdir test
Push changes to remote repository,git push
Display disk space usage,"wmic logicaldisk get size,freespace,caption"
Build a Docker image,docker build -t <image_name> .
Delete a user,net user <username> /delete
Go back to the previous directory,cd ..
Display the list of running Docker containers,docker ps
Clone a repository from GitHub,git clone <repository_url>
Display the manual for the dir command,help dir
Search for 'keyword' in 'file.txt',"findstr ""keyword"" file.txt"
Ping a server,ping <server_address>
Restart a service,sc restart <service_name>
Build a Docker image,docker build -t <image_name> .
Extract the zip file,"powershell -command ""Expand-Archive -Path myfolder.zip -DestinationPath myfolder"""
Run a Python script,python script.py
Enumerate all files in the current directory,dir
Display the process status,tasklist
Run a Python script,python script.py
Stop a Docker container,docker stop <container_id>
Disable a service from starting on boot,sc config <service_name> start= disabled
Run a Python script,python script.py
Change directory to 'Documents',cd Documents
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Display the current branch in Git,git branch
Pull changes from remote repository,git pull
Display the first 10 lines of 'log.txt',"powershell -command ""Get-Content log.txt -TotalCount 10"""
Go back to the previous directory,cd ..
Display me the contents of this folder,dir
Display the last 10 lines of 'log.txt',"powershell -command ""Get-Content log.txt -Tail 10"""
Display the process status,tasklist
Verify the available memory,"systeminfo | find ""Available Physical Memory"""
Display the status of Git,git status
Stop a service,sc stop <service_name>
Remove the directory named 'test',rmdir test
Display the environment variables,set
Enable a service to start on boot,sc config <service_name> start= auto
Display the list of running Docker containers,docker ps
Pull changes from remote repository,git pull
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Edit the file 'newfile.txt',notepad newfile.txt
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Move 'file.txt' to 'new_folder',move file.txt new_folder
Display the environment variables,set
Run a Python script,python script.py
Extract the zip file,"powershell -command ""Expand-Archive -Path myfolder.zip -DestinationPath myfolder"""
Search for 'keyword' in 'file.txt',"findstr ""keyword"" file.txt"
Remove a package using winget,winget uninstall <package_name>
Push changes to remote repository,git push
Enable a service to start on boot,sc config <service_name> start= auto
Make a file named 'newfile.txt',echo. > newfile.txt
Display the current directory,cd
Change directory to 'Documents',cd Documents
Delete a user,net user <username> /delete
Add changes to Git,git add .
Run a Docker container,docker run <image_name>
Display the list of users,net user
Install a package using winget,winget install <package_name>
Display me the contents of this folder,dir
Remove the directory named 'test',rmdir test
Display the process status,tasklist
Verify the status of a service,sc query <service_name>
Verify the current user,whoami
Add a new user,net user <username> <password> /add
Verify the available memory,"systeminfo | find ""Available Physical Memory"""
Display network connections,netstat -an
Display the first 10 lines of 'log.txt',"powershell -command ""Get-Content log.txt -TotalCount 10"""
Display the manual for the dir command,help dir
Make a file named 'newfile.txt',echo. > newfile.txt
Display me the contents of this folder,dir
Run a Node.js application,node app.js
Push changes to remote repository,git push
Find all .txt files in this directory,dir *.txt
Copy the file 'source.txt' to 'dest.txt',copy source.txt dest.txt
Copy the file 'source.txt' to 'dest.txt',copy source.txt dest.txt
Verify for updates in the package manager,winget upgrade
Build a Docker image,docker build -t <image_name> .
Add a new user,net user <username> <password> /add
Add a new user,net user <username> <password> /add
Compress the directory 'myfolder',"powershell -command ""Compress-Archive -Path myfolder -DestinationPath myfolder.zip"""
Stop a Docker container,docker stop <container_id>
Install a package using winget,winget install <package_name>
